"Formula ID","Block","Formula / Variable","Formula","Описание логики расчета","Level","Source / Input","Output / Goes To","Used In"
"FINAL-001","Final Total","Damage Surcharge","Amount x Repair Cost Per Unit","Damage surcharge зависит от selected model: repairCostPerCuFt для volume или repairCostPerLb для weight. Результат идет в serviceCost.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","Raw price, margin display, final customer price, item allocation","Service cost, final total"
"FINAL-002","Final Total","Service Cost","Pickup Cost + Delivery Cost + Interstate Cost + Damage Surcharge + Insurance Cost","Service cost складывает три stage costs, damage surcharge и protection/insurance cost. Результат идет в priceExcludingBrokerFee и operationalCost.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","Raw price, margin display, final customer price, item allocation","Operational cost, margin, final total"
"FINAL-003","Final Total","Stage Margin","(Pickup Cost + Delivery Cost + Interstate Cost) x Margin Rate","Margin считается от route stage costs, без storage/access/adjustments. MarginRate берется из settings. Результат идет в priceExcludingBrokerFee.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","Raw price, margin display, final customer price, item allocation","Price excluding broker fee"
"FINAL-004","Final Total","Price Excluding Broker Fee","Service Cost + Stage Margin","Цена до broker fee складывает service cost и stage margin. Результат идет в brokeredPrice.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","Raw price, margin display, final customer price, item allocation","Brokered price"
"FINAL-005","Final Total","Brokered Price","Price Excluding Broker Fee / (1 - Broker Fee Rate)","Broker fee gross-up делит price excluding broker fee на 1 - brokerFeeRate. Сейчас brokerFeeRate = 4%. Результат идет в rawPrice.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","Raw price, margin display, final customer price, item allocation","Raw price, final total"
"FINAL-006","Final Total","Volume Model Price","calculateExcelStageCosts(measure = volume, amount = Total Effective Volume)","Калькулятор считает pickup/interstate/delivery модель по effective volume. Результат сравнивается с weight model.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","Raw price, margin display, final customer price, item allocation","Model selection"
"FINAL-007","Final Total","Weight Model Price","calculateExcelStageCosts(measure = weight, amount = Total Weight)","Калькулятор считает pickup/interstate/delivery модель по total weight. Результат сравнивается с volume model.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","Raw price, margin display, final customer price, item allocation","Model selection"
"FINAL-008","Final Total","Selected Pricing Model","MAX(Volume Model Price, Weight Model Price)","AS-IS калькулятор выбирает более дорогую модель по priceExcludingBrokerFee. Результат selectedCosts используется для routeCost, serviceCost, rawPrice и finalPrice.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","Raw price, margin display, final customer price, item allocation","Final pricing model"
"FINAL-009","Final Total","Route Cost","Selected Pickup Cost + Selected Delivery Cost + Selected Interstate Cost","Route cost складывает pickup, delivery и interstate costs из выбранной volume/weight модели. Результат идет в totals.routeCost и Cost Breakdown.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","Raw price, margin display, final customer price, item allocation","Operational cost, breakdown"
"FINAL-010","Final Total","Additional Charges","Storage + Access Fees + Option Fees","Additional charges складывают storage, accessFees и optionFees. Результат добавляется к brokeredPrice в rawPrice.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","Raw price, margin display, final customer price, item allocation","Raw price, final total"
"FINAL-011","Final Total","Quote Adjustment","Special Labor Cost + Legacy Manual Adjustment","Quote adjustment складывает special labor и legacy manual adjustment. Результат добавляется к rawPrice.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","Raw price, margin display, final customer price, item allocation","Raw price, final total"
"FINAL-012","Final Total","Raw Price","Brokered Price + Additional Charges + Quote Adjustment","Raw price — цена до финального округления. Берется brokeredPrice, additionalCharges и quoteAdjustment. Результат идет в final price rounding.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","Raw price, margin display, final customer price, item allocation","Final price"
"FINAL-013","Final Total","Margin Display","MAX(0, Raw Price - Operational Cost - Additional Charges - Quote Adjustment)","Internal margin display считается как остаток после operationalCost, additionalCharges и adjustments. Результат показывается в Cost Breakdown, но не в customer Estimate Document.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","Raw price, margin display, final customer price, item allocation","Cost Breakdown"
"FINAL-014","Final Total","Final Customer Price","IF Billable Items exist, CEILING(Raw Price, 10), else 0","Final customer price равен raw price, округленному вверх до $10, если есть billable items. Если billable items нет, итог = $0. Результат идет в Estimate Document, My Estimates и Cost Breakdown.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","Raw price, margin display, final customer price, item allocation","Estimate Document, final total"
"FINAL-015","Final Total","Rounding Delta","Final Customer Price - Raw Price","Rounding delta показывает, сколько добавило округление. Результат идет в totals.roundingDelta для audit.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","Raw price, margin display, final customer price, item allocation","Cost Breakdown"
"FINAL-016","Final Total","Effective Cost Per Cu Ft","IF Total Shipment Volume > 0, Final Customer Price / Total Shipment Volume, else 0","Effective $/cu ft — internal metric для broker/admin review. Берется finalPrice и totalVolume. Не влияет на цену.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","Raw price, margin display, final customer price, item allocation","Summary, Cost Breakdown"
"FINAL-017","Final Total","Item Reference Allocation Method","IF Total Weight > 0 then Weight else IF Total Effective Volume > 0 then Effective Volume else None","Калькулятор выбирает метод распределения final price по items: сначала weight share, иначе effective volume share. Это internal allocation metric.","Order/Item","Selected stage costs, service cost, additional charges, broker fee, rounding","Raw price, margin display, final customer price, item allocation","Item reference price"
"FINAL-018","Final Total","Item Reference Price","IF Weight method, Final Price x Item Weight / Total Weight; else Final Price x Item Effective Volume / Total Effective Volume","Item Ref. Price распределяет итоговую цену по items для internal unit economics. Не влияет на final price и не должен использоваться как declared value.","Item","Selected stage costs, service cost, additional charges, broker fee, rounding","Raw price, margin display, final customer price, item allocation","Cost Breakdown, item economics"
"SNAP-001","Snapshot / Audit","Estimate Snapshot Formula Version","formulaVersion + variablesSnapshot + quote + result","При Generate Estimate система сохраняет frozen snapshot: formulaVersion, variablesSnapshot, quote и result. Результат нужен, чтобы старые estimates не пересчитывались после изменения variables.","Snapshot","Generated estimate snapshot: formulaVersion, variablesSnapshot, quote, result","Frozen estimate audit trail","Estimate Document, audit"
