"Reference ID","Reference Source","Описание логики на русском","What It Contains","Source File / UI","Used In","Audit Note"
"REF-001","Quote Draft item row","Основной источник item-level pricing inputs: dimensions, weight, qty, packaging, protection, storage и flags.","Item name, dimensions, weight, qty, packaging, protection, declared value, storage, flags","index.html / js/ui.js","Item Calculations, Packaging, Protection, Storage","Primary broker input source."
"REF-002","Quick Quote catalog transfer","Переносит данные из Quick Quote в Full Quote, чтобы broker не вводил catalog dimensions повторно.","Catalog dimensions, weight, packaging defaults transferred to Full Quote","quick-quote.html / js/quickQuote.js / js/itemCatalog.js","Item Calculations","Preserves catalog dimensions unless volume manually overridden."
"REF-003","Item Catalog","Содержит default item templates; используется как стартовая база размеров/веса для быстрых расчетов.","Default item templates","js/itemCatalog.js","Quick Quote, References, item defaults","Seed catalog, not SKU-specific production source."
"REF-004","ZIP Dictionary","Определяет raw service zone по ZIP; первый шаг route classification.","ZIP -> raw zone","js/zoneZipMap.js","Pickup Zone, Delivery Zone","Large static dictionary."
"REF-005","Zone normalization","Приводит raw zone к canonical zone, чтобы distance matrix и pricing использовали единые названия зон.","Raw zone -> canonical zone","js/variables.js normalizeZoneName","Route/Distance","Examples: NYC -> NY Area, CA (LA) -> CA South."
"REF-006","Distance Matrix","AS-IS static/average distance source для pickup, delivery и interstate mileage.","Canonical zone pair distances and same-zone local distances","js/variables.js distanceMatrix","Pickup, Delivery, Interstate distance","AS-IS average/static distance source."
"REF-007","Vehicles Reference","Vehicle reference хранит capacity, payload, MPG и maintenance; используется для fit, fuel и route cost.","Capacity, payload, fuel type, MPG, calculation MPG, maintenance","js/variables.js vehicleTypes / PricingConfig vehicles","Vehicle fit, fuel, mileage, interstate allocation","calculationMpg preserves UAT baseline."
"REF-008","Fuel Prices Reference","Fuel reference хранит актуальные fuel prices and surcharge для расчета fuel cost per mile.","Fuel type, currentAvg, fuelSurchargePct","js/variables.js fuelPrices / PricingConfig fuelPrices storage","Fuel Cost Per Mile","Runtime bucket can override baseline."
"REF-009","Packaging Rates","Packaging rate table связывает selected packaging type с item-level packaging amount.","Packaging type -> rate","js/variables.js packagingRates","Packaging Cost Per Item","AS-IS display/tracking nuance."
"REF-010","Protection Plans","Protection plans reference хранит RV/FVP/DV-like rates and fees для protection cost.","Basic Liability and Full Coverage rate/fixed fee","js/variables.js protectionPlans","RV/FVP/DV AS-IS pricing","DV maps to Basic Liability pricing AS-IS."
"REF-011","Access Conditions","Access conditions source: COI, stairs, floor, narrow access, elevator unavailable, long carry and crew inputs.","COI, stairs, floor, narrow, elevator unavailable, long carry, crew","Quote Draft access fields / saved drafts","Access Fees, Crew overrides","Some legacy fields are hidden in current broker UI."
"REF-012","Quote Options","Quote options source: priority, exclusive, special labor, manual adjustment and direct flags.","Priority, exclusive delivery, special labor, manual adjustment, direct flags","Quote Draft options","Options, Adjustments","Direct flags are capture-only AS-IS."
"REF-013","Estimate Snapshot","Estimate snapshot freezes formulaVersion, variablesSnapshot, quote and result so old estimates remain auditable.","formulaVersion, variablesSnapshot, quote, result","js/ui.js / js/storage.js","Estimate Document, audit","Frozen historical estimates should use saved result."
