"ID решения","Что нужно утвердить","Рекомендация","Почему важно","Риск если не утвердить","Приоритет","Статус","Кто утверждает","Следующее действие"
"CEO-001","Порядок сборки final price","Утвердить как обязательную последовательность расчета.","Иначе margin, discount и fees могут применяться в разном порядке и давать разные цены.","Underpricing, спорные customer totals, невозможность объяснить цену.","P0","Нужно решение CEO/CFO","CEO / CFO","Утвердить порядок: cost base -> margin/broker fee -> discount -> rounding."
"CEO-002","Formula trace как обязательный audit output","Утвердить, что каждый важный расчет пишет trace line.","CEO должен видеть: что взяли, откуда, на что умножили, какой результат, куда пошло.","Нельзя расследовать, почему цена получилась именно такой.","P0","Нужно решение CEO","CEO","Утвердить формат trace для Cost Breakdown/admin."
"CEO-003","Route type pricing","Разделить consolidated, direct, specific date, dedicated, corridor, remote, out-of-zone.","Разные типы маршрута имеют разную себестоимость и риск.","Direct/specific date может продаваться по цене consolidated.","P0","Нужно решение CEO/Ops","CEO / Operations","Утвердить route types и какие влияют на цену."
"CEO-004","ZIP dictionary отдельно от service area settings","Сделать ZIP dictionary отдельным source of truth.","Зоны, расстояния и remote/corridor flags должны меняться без переписывания формул.","Хардкод зон в коде, ошибки при расширении service areas.","P0","Нужен источник данных","BA / Operations","Подготовить таблицу ZIP -> service area -> branch -> zone class."
"CEO-005","Core / corridor / remote zone pricing","Ввести zone class и approved premium/coefficient.","Удаленные плотные зоны и коридоры имеют другую экономику.","Дальние зоны будут съедать road cost и margin.","P1","Нужно решение CEO/Ops","CEO / Operations","Утвердить remote/corridor правила и коэффициенты."
"CEO-006","Vehicle fit отдельно от crew logic","Vehicle выбирать по capacity, crew считать отдельно по stage complexity.","Машина и люди зависят от разных факторов.","Неверный vehicle или crew приведет к underpricing/operational failure.","P0","Нужно решение Operations","Operations / CEO","Утвердить vehicle reference и crew rules."
"CEO-007","Pickup time и delivery time считать разными моделями","Разделить коэффициенты pickup и delivery.","CEO отметил, что pickup может занимать примерно в 2 раза больше delivery.","Delivery/pickup labor будет системно искажать себестоимость.","P1","Нужны данные времени","Operations","Собрать time metrics и утвердить коэффициенты."
"CEO-008","Bulky / moving premium","Ввести threshold и premium/review для 250+ cu ft / moving-like orders.","Большие moving заказы создают нагрузку и должны быть выгодными.","Большие заказы будут занимать capacity без достаточной маржи.","P1","Нужно решение CEO","CEO / Operations","Утвердить threshold, premium и direct review behavior."
"CEO-009","Direct / specific date pricing","Утвердить fixed fee + mileage fee + exact distance recalculation.","Specific date/direct service ломает экономику consolidated route.","Прямые заказы будут недооценены.","P0","Нужно решение CEO","CEO / Operations","Утвердить fixed fee, mileage fee, stage applicability."
"CEO-010","Custom crate formula","Считать crate по surface area + material + waste + labor + margin.","Crate должен зависеть от размера и реальной себестоимости.","Flat crate rate будет давать underpricing на крупных предметах.","P1","Нужны данные мастеров","Operations / CEO","Утвердить material table, waste coeff, min labor."
"CEO-011","Protection Plan: RV/FVP/DV","RV included; FVP по declared value; fixed fee once per order; DV future/confirmation.","Protection влияет и на цену, и на customer wording.","Ошибки в declared value/legal wording.","P0","Нужно legal/finance approval","CEO / Legal / Finance","Утвердить rate, fixed fee, wording, DV статус."
"CEO-012","Storage compatibility","Не ломать AS-IS storage и старые snapshots.","Storage уже есть в baseline и должен воспроизводиться для старых estimates.","Старые оценки могут пересчитаться иначе.","P0","Сохранить compatibility","BA / Developer","Зафиксировать snapshot rule и migration notes."
"CEO-013","Management fee / broker fee / discount order","Отдельно утвердить порядок fees, margin и discounts.","Это напрямую влияет на прибыльность.","Discount может случайно съесть margin.","P0","Нужно решение CEO/CFO","CEO / CFO","Утвердить формулу и guardrails."
"CEO-014","Variable governance","Все переменные менять только через owner, approval, version, benchmark preview.","Нельзя silently менять pricing constants.","Непроверенные changes попадут в production pricing.","P0","Нужно governance rule","CEO / CFO / BA","Утвердить change workflow."
"CEO-015","Snapshot compatibility","Estimate snapshot immutable; draft recalculates; estimate does not.","Нужно объяснять старые цены после изменения variables.","Старые customer estimates будут не воспроизводиться.","P0","Утвердить как правило","CEO / Developer","Включить formulaVersion, variablesSnapshot, reference versions, trace."
"CEO-016","Capacity / density pricing","Утвердить, что interstate capacity считается по большему ограничению: volume utilization или payload utilization.","Иначе легкие объемные и тяжелые компактные заказы будут оцениваться одинаково неверно.","Underpricing тяжелых компактных заказов или объемных bulky orders.","P0","Нужно решение CEO/CFO/Ops","CEO / CFO / Operations","Выбрать метод: limiting capacity factor, dual MAX(volume cost, weight cost) или hybrid guardrail."
"CEO-017","Hardcoded numeric constants","Все числа из формул вынести в variables и показать в Formula Constants Audit.","CEO должен понимать, какие числа управляют ценой и кто их может менять.","Скрытые коэффициенты останутся в коде и будут менять цену непрозрачно.","P0","Нужно governance rule","CEO / BA / Developer","Утвердить variable IDs для 80, 205.57, 144.87, 73.13, 0.5 и других коэффициентов."
"CEO-018","Warning / approval rules","Ввести справочник red flags: vehicle fit, heavy item, capacity overflow, remote ZIP, low margin.","Калькулятор должен не только считать цену, но и предупреждать о рискованных заказах.","Broker сможет сохранить underpriced или operationally risky estimate без approval.","P0","Нужно решение Product/Ops","CEO / Operations / Product","Утвердить какие warnings blocking, какие informational, кто approve."
"CEO-019","Access floors and extra labor","Утвердить free floor count, stairs fee, minimum helper/extra labor hours и ставку.","Access и helper напрямую влияют на себестоимость pickup/delivery.","Этажи, лестницы и helper будут недооценены или задублированы в labor.","P0","Нужно решение CEO/Ops","CEO / Operations","Утвердить free floors, fee per billable floor, extra labor minimum hours."
"CEO-020","Broker and dispatcher payout model","Утвердить базу и формулу выплат брокерам/диспетчерам.","Payout должен учитываться до оценки contribution margin.","Цена может выглядеть прибыльной до выплат, но быть убыточной после них.","P1","Нужно решение CEO/CFO","CEO / CFO","Выбрать payout base: gross, net after discount, contribution или fixed/hybrid."
"CEO-021","Contribution margin guardrail","Утвердить minimum contribution margin и approval при нарушении.","Это главный финансовый контроль будущего pricing engine.","Скидки, route premium или payouts могут незаметно съесть прибыль.","P0","Нужно решение CEO/CFO","CEO / CFO","Задать threshold и правило blocking warning / manager approval."
"CEO-022","Formula version registry","Утвердить registry версий формул, переменных и справочников.","Без version registry нельзя безопасно менять pricing engine и объяснять старые estimates.","Изменения формул сломают audit trail и сравнение benchmark cases.","P0","Нужно решение Developer/BA","CEO / Developer / BA","Включить formulaVersion, variableVersion, referenceVersion в snapshot."
