"Лист","Назначение","Для кого","Как использовать"
"00_CEO_Approval","Главные решения, которые нужно утвердить до Formula Sprint.","CEO / CFO / Operations","Начинать ревью с этого листа."
"01_Sprint_Scope","Что входит в Formula Sprint 1, что позже, что future.","CEO / BA","Зафиксировать границы ближайшего спринта."
"02_Price_Build_Order","Порядок сборки final customer price.","CEO / CFO / Developer","Утвердить как обязательную последовательность."
"03_TO_BE_Simple","Упрощенная CEO-friendly карта TO-BE формул с ID по блокам.","CEO / BA","Использовать для быстрого согласования формул."
"04_Formula_Detail","Детальная карта TO-BE формул и вопросов CEO.","BA / Developer","Использовать после review простого листа."
"05_Route_Zones","Route type, ZIP, service area, remote/corridor pricing.","CEO / Operations","Утвердить route and zone pricing rules."
"06_Vehicle_Crew_Labor","Vehicle fit, crew split, pickup/delivery time, bulky/moving premium.","CEO / Operations","Утвердить операционную экономику."
"07_Payroll_Payouts","Человекочасы, зарплаты, broker payout, dispatcher payout.","CEO / CFO / Operations","Утвердить payout and labor costing model."
"08_Margin_Profitability","Fully loaded cost, margin %, price floor, max discount, capacity economics.","CEO / CFO","Утвердить маржинальность и guardrails."
"09_Fees_Margin","Storage, crate, protection, access, margin, broker fee, discount, rounding.","CEO / CFO / Legal","Утвердить коммерческий порядок."
"10_Variables","Какие variables можно менять и кто их утверждает.","CEO / CFO / BA","Основа для admin variables governance."
"11_References","Какие справочники нужны до реализации формул.","BA / Operations / Developer","Подготовить source of truth."
"12_Snapshot_Governance","Как сохранять старые estimates и trace.","CEO / Developer","Утвердить compatibility rules."
"13_UAT_Cases","Кейсы проверки Formula Sprint.","BA / QA / CEO","Использовать как acceptance checklist."
"14_Constants_Audit","Карта числовых коэффициентов: какие числа используются в формулах, в какие variables они вынесены, кто утверждает.","CEO / BA / Developer","Использовать для поиска hidden hardcoded constants перед изменением js/calculator.js."
"15_Warnings_Approval","Warning / approval logic: heavy item, vehicle fit, capacity overflow, low margin, remote/out-of-zone.","CEO / Operations / Product","Утвердить blocking vs informational warnings и роли approval."
"16_Glossary","Глоссарий типов: Variable, Reference field, Governance variable, Rule set, Derived reference value.","CEO / BA / Developer","Использовать, чтобы одинаково понимать типы данных в workbook."
"17_Business_ID_Mapping","Mapping explicit business IDs from Calculator meeting to existing TBE formula rows.","BA / Developer","Использовать как bridge между CEO/meeting notation и development formula IDs."
"INDEX","Навигация по workbook.","Все","Открывать как карту листов."
