"Блок","Formula Sprint 1","Sprint 2","Future / вне ближайшего спринта","Комментарий"
"Price build order","Да","","","Блокирует безопасную реализацию всех новых формул."
"Formula trace / audit","Да","","","Нужен CEO/admin breakdown для расследования цены."
"Route type pricing","Да","","","Direct/specific date/consolidated должны быть разделены."
"ZIP dictionary / service areas","Да","","","Нужен source of truth до изменения route formulas."
"Remote/corridor zones","Частично","Да","","В Sprint 1 можно заложить структуру, коэффициенты утвердить отдельно."
"Vehicle fit reference","Да","","","Vehicle должен быть reference-driven."
"Crew split","Да","","","Pickup crew и delivery crew должны считаться отдельно."
"Labor time model","Частично","Да","","В Sprint 1 зафиксировать структуру, коэффициенты после time data."
"Bulky / moving premium","Да","","","Нужен минимум review/premium trigger для 250+ cu ft."
"Custom crate","Частично","Да","","Нужны material/labor data от operations."
"Protection Plan","Да","","","FVP/DV требуют finance/legal approval."
"Storage","Compatibility only","Да","","Не менять AS-IS без отдельного approval."
"Margin / broker fee / discount","Да","","","Ключевой margin-risk блок."
"Snapshot compatibility","Да","","","Обязательное правило перед changing formulas."
"Customer portal / contract workflow","","","Да","Не часть Formula Sprint, кроме wording protection."
