"Шаг","Блок расчета","Что считается","Откуда берется","Что получается","Куда идет результат","Что должен утвердить CEO"
"1","Order Inputs","Нормализуются поля заявки, items, route, service flags, access, storage, packaging, protection.","Quote Draft, Quick Quote transfer, item catalog, broker input.","Clean calculation payload.","Route / Items.","Какие поля являются pricing inputs."
"2","Route Classification","Определяется route type, pickup zone, delivery zone, core/corridor/remote/out-of-zone.","ZIP dictionary, service area reference, warehouse point, distance source.","Route type, zone flags, distances.","Pickup / Interstate / Delivery pricing.","Route types, zone classes, distance source."
"3","Item Calculations","Physical volume, effective volume, total weight, non-stack, heavy, bulky flags.","Item rows, catalog defaults, item flags.","Volume/weight/complexity outputs.","Vehicle fit, crew, labor, bulky premium.","Thresholds and effective volume logic."
"4","Vehicle / Crew Split","Vehicle выбирается по capacity, crew считается отдельно для pickup и delivery.","Vehicle reference, labor rules, item totals, access fields.","Vehicle type, pickup crew, delivery crew, helper need.","Stage labor and interstate vehicle cost.","Vehicle/crew rules and references."
"5","Pickup Stage","Pickup labor, pickup mileage, direct pickup fee, pickup access impact.","Pickup distance, pickup crew, access, direct flags.","Pickup subtotal.","Internal cost base.","Pickup time/mileage/direct logic."
"6","Interstate Stage","Linehaul distance, fuel, driver, vehicle, route type premium.","Distance matrix, vehicle reference, fuel reference, route type.","Interstate subtotal.","Internal cost base.","Consolidated/direct/dedicated route economics."
"7","Delivery Stage","Delivery labor, delivery mileage, direct delivery fee, delivery access impact.","Delivery distance, delivery crew, access, direct flags.","Delivery subtotal.","Internal cost base.","Delivery time/mileage/direct logic."
"8","Service Fees","Packaging, crate, protection, storage, COI, floor/elevator, special labor.","Item services, protection fields, storage days, access fields, approved adjustments.","Service fee subtotal.","Internal cost base.","Which fees are customer price inputs and how to avoid double-counting."
"9","Internal Cost Base","Складываются pickup + interstate + delivery + service fees + approved adjustments.","All stage subtotals.","Internal cost base.","Margin / broker fee / discount.","Which components enter cost base."
"10","Margin / Broker Fee / Discount","Применяются margin, broker fee, management fee, seasonal markup, discount guardrails.","Cost base, variables, discount approval.","Raw customer price.","Final rounding.","Exact order of margin, fees and discounts."
"11","Final Customer Price","Raw customer price округляется по approved rounding rule.","Raw customer price, rounding variable.","Final customer price and rounding delta.","Estimate Document.","Rounding rule and no-cents customer display."
"12","Estimate Snapshot","Freeze formulaVersion, variablesSnapshot, reference versions, quote, result, trace.","Pricing engine output.","Immutable estimate snapshot.","My Estimates, Cost Breakdown, audit.","Draft vs estimate recalculation rule."
